level,en,fa,pos,synonyms,examples
A1,book,کتاب,noun,volume;work,"This is a good book.|این یک کتاب خوب است."
A1,pen,خودکار,noun,ballpoint;writing instrument,"I have a blue pen.|من یک خودکار آبی دارم."
A1,water,آب,noun,,"Water is essential for life.|آب برای زندگی ضروری است."
A1,go,رفتن,verb,move;travel,"I go to school.|من به مدرسه می‌روم."
A1,come,آمدن,verb,arrive;approach,"Please come here.|لطفاً اینجا بیا."
A1,see,دیدن,verb,watch;look,"I see a bird.|من یک پرنده می‌بینم."
A2,important,مهم,adj,significant;crucial,"This is an important meeting.|این یک جلسه مهم است."
A2,healthy,سالم,adj,fit;well,"A healthy diet is important.|رژیم سالم مهم است."
A2,explain,توضیح دادن,verb,clarify;describe,"Can you explain this?|می‌توانی این را توضیح بدهی؟"
A2,choice,انتخاب,noun,option;selection,"You made a good choice.|انتخاب خوبی کردی."
B1,achieve,دستیابی یافتن,verb,accomplish;attain,"We achieved our goals.|ما به اهدافمان رسیدیم."
B1,attitude,نگرش,noun,approach;mindset,"Her attitude is positive.|نگرش او مثبت است."
B1,challenge,چالش,noun,difficulty;test,"This is a real challenge.|این یک چالش واقعی است."
B1,efficient,کارآمد,adj,productive;effective,"An efficient system saves time.|یک سیستم کارآمد زمان را ذخیره می‌کند."
